"",,DATE
Alabama *,18,10/01/95
Alaska,8,07/01/61
Arizona *,18,07/01/00
Arkansas *,21.5,07/01/01
California *,18,01/01/94
Colorado *,22,01/01/91
Connecticut *,25,01/01/05
Delaware *,23,01/01/95
District of Columbia,20,10/01/94
Florida *,14.9,01/01/06
Georgia,7.5,07/01/71
Hawaii *,16,07/01/91
Idaho *,25,01/01/96
Illinois *,19,01/01/90
Indiana *,18,01/01/03
Iowa *,21,07/01/06
Kansas *,24,07/01/03
Kentucky *,19.7,04/01/06
Louisiana *,20,01/01/90
Maine *,26.8,07/01/06
Maryland,23.5,05/01/92
Massachusetts,21,01/01/91
Michigan *,19,08/01/97
Minnesota *,20,06/01/88
Mississippi *,18.4,08/01/00
Missouri *,17,04/01/96
Montana *,27.75,01/01/01
Nebraska *,27.1,07/01/06
Nevada,24,10/01/92
New Hampshire *,18,06/18/91
New Jersey *,10.5,07/01/88
New Mexico *,17,07/01/95
New York *,23.95,01/01/06
North Carolina *,30.15,01/01/06
North Dakota *,23,07/01/05
Ohio *,28,07/01/05
Oklahoma *,16,05/26/87
Oregon *,24,01/01/93
Pennsylvania *,30,01/01/06
Rhode Island *,30,07/01/02
South Carolina,16,07/01/87
South Dakota *,22,04/01/99
Tennessee *,20,07/01/89
Texas *,20,10/01/91
Utah *,24.5,05/01/97
Vermont *,20,07/01/99
Virginia *,17.5,01/01/87
Washington *,34,07/01/06
West Virginia *,27,01/01/05
Wisconsin *,30.9,04/01/06
Wyoming *,14,07/01/98
